message,spam label,smishing label
ke your money work for you. Want to know how Text Money Shop today and stay ahead of the pack. Text YES to 5021 to subscribe. N50/wkly.Text STOP to unsubscribe,1,1
Get the best in health fitness daily when you subscribe to Medplus health tips. Text Medplus to 5021 to subscribe. N50/wkly.Text STOP to unsubscribe,1,1
Networking leads to a stronger business platform. Text Money Shop today to stay connected. Text YES to 5021 to subscribe. N50/wkly.Text STOP to unsubscribe,1,1
Searching for a job is a job itself! To receive quick-time saving job alerts from Phillips Consulting. Text ALERTS to 5031 or STOP to unsubscribe.N50/WK,1,1
The goal of the CV is to get you an interview. Keep it targeted/enticing!For more tips from Phillips Consulting,1,0
Good evening sir,0,0
fine,0,0
OK. Pls sit down for ur exam. take care. How is Azeez? Cheers,0,0
Thanks for ur advice and thanks always be there for me.Am so grateful sir.,0,0
WISHING U ALL D BEST IN UR EXAM. GUD LUCK & VICTORY. CHEERS. OLAOYE.,0,0
Am sry,0,0
Y na av told u dat am in the church we ar doin program.,0,0
Weldone oooo and continue,0,0
8189347726,0,0
Good afternoon ma,0,0
thank u ma,0,0
Prayer of victory for 3 daysExodus 14:13,0,0
fine ma,0,0
How far?,0,0
Good evening ma,0,0
Ok ma,0,0
I did not write it any other place,0,0
Good evening ma,0,0
Thanks alot ma,0,0
Alright ma,0,0
Am in d PG Schl attending to student's defence,0,0
Good afternoon sir,0,0
Yes sir,0,0
Is d money correct,0,0
Good afternoon sir,0,0
Thank you so much for yesterday,0,0
Good night sir and have a nice dream,0,0
Thanks so much for always been there for me,0,0
Good evening sir,0,0
Ok,0,0
Hello,0,0
Hello,0,0
Mind u,0,0
I Knew it was because you among those who are responsible for my sch things that was the major problem you are havin wit me and there is notting new about it because you are not the only man doing such on earth.Just give me little I will pay you back.,0,0
When know that i will be denial later.why don't u let me go on my way before u said u want to marry me.I was disgrace all because of you.,0,0
Daniel mercy oluwaseun 0050967585 gtb,0,0
incase u come back am in jackie's room,0,0
I said u shd buy cemetine tab,0,0
Aunty,0,0
flash wen u r thru,0,0
Rise with the word of the Lord this blessed Sunday morning! Reply BIBLE or PRAYER for Daily Bible Verses or Prayer Tonic @N100/Mnt. Text STOP to 33111 to OptOut,0,0
Y.ello Peeps!Watch the exciting MTN Project Fame 7.0 Elimination Show on Sat: NTA(5:30-6:30pm),1,0
you need help or information about the Ebola virus? Please call 08037879701/08037154575 or email ebolainfo@health.gov.ng (Federal Ministry of Health),1,1
Help prevent the spread of Ebola! Report any suspected case to 08037879701/08037154575 or email ebolainfo@health.gov.ng. (Federal Ministry of Health),1,0
Its Yello Friday! Get useful tips for a healthier you. Text HEALTH to 700 @ a discounted rate of N10 for a 7 day offer,1,1
Ebola is spread through contact with blood,1,1
Do you know that symptoms of Ebola include fever,1,0
Get the new MTN Android Smartphones for as low as N8,1,0
Get the new MTN Android Smartphones for as low as N8,1,0
Get 60mins voice calls,1,0
Y'ello Peeps! Watch MTN Project Fame 7.0 on the following stations from Mon-Fri on Soundcity (7:30-8pm),1,0
Y'ello! Get fast,1,0
Get 60mins voice calls,1,0
Cancer is killing both genders across all ages,1,0
How Nigerian are you? Answer 3 questions correctly & be rewarded with  DSTV Walka7s,1,0
am arnd,0,0
Pls show,0,0
If you are at home send me call me I love you bt if u are jst send me pls call me,0,0
Are now at home?,0,0
Dami,0,0
Am reli down....i wll xplain tins 2 u beta 2mrw....wil cum c u in d mrn...am reli nt apy....am at a frnds place,0,0
ewo,0,0
1.20E+11,0,0
Direct to ur phone the popular OUR DAILY BREAD devotional!Strengthen ur walk with God and get deeper in the WORD. Subscribe now.sms ODB to 38299.Cost:N50 7days,1,1
TEXT A,1,1
Y'ello! Your request has been received and is being processed. You will receive a response shortly. Please do not resend your request. Thank you!,1,0
more,1,0
TEXT TO 131 TO BUY A SIMPLE SURF PLAN2H to 131=2HRS/2DAYS-N25020H to 131=20HRS/7DAYS-N1,1,1
help,1,0
TEXT A,1,1
Y'ello! Your request has been received and is being processed. You will receive a response shortly. Please do not resend your request. Thank you!,1,0
more,1,0
TEXT TO 131 TO BUY A SIMPLE SURF PLAN2H to 131=2HRS/2DAYS-N25020H to 131=20HRS/7DAYS-N1,1,1
help,1,0
Sorry you do not have any MTN Happy Hour Data Plus Plan. Thank you.,1,0
Sorry,1,0
2,1,0
Please call me. Get 100% bonus when you recharge with *885*RechargePin# on SmoothTalk and Trutalk. Bonus expires daily @ 11:59pm.,0,0
30XXXXXX10 Ayandiran Bolanle Khadijat(first bank),0,0
Ok,0,0
Morning sir,0,0
Join the winning team now! Get instant airtime by answering 3 simple questions in the Brain-Wave game. Text WAVE to 5032 to get started now. N10/SMS.,1,1
Y'hello! You can now play BRAIN-WAVE and get instant MTN airtime by answering 3 questions only. N10/SMS. To get started,1,1
Welcome to BRAIN-WAVE easy Trivia.Answer three questions only and get instant MTN Airtime. To get started now N10/SMSText WAVE to 5032,1,0
Please call me. A week of miracles starts with prayers and confessions; start with prayers from Rhapsody of Realities,0,0
Aburo mii,0,0
pin no(915626888289717)serial no(341952021),0,0
Babe,0,0
Whr r u?I've tryin callin u.,0,0
Accessing finance for medical treatment just got easier with our Maternal Health Support Scheme. Pls call 01-2712005-7/email womenbankingteam@accessbankplc.com,1,1
Good evening ma,0,0
Eecli 4 verse 9-6,0,0
Thanks ma,0,0
Morning. Am on it. Thks,0,0
Good morning ma,0,0
Eecli 4 verse 9-6,0,0
Eecli 4 verse 9-6,0,0
This is Bola Muda sir,0,0
Good afternoon sir,0,0
Good afternoon sir,0,0
Pls 4 d sake of Allah,0,0
Good afternoon ma,0,0
Iya Bola;call me back,0,0
8130823122,0,0
30XXXXXX10 Ayandiran Bolanle khadijat.first bank,0,0
thank uuuu,0,0
Sup? On dx special dae meant 4a special being,0,0
In a soft voice wif a standin ovation,0,0
Try out today the LOVE METER to calculate whether you two are the perfect match! Send your name + your partner name to 33550. N50 Ex: Bello + Passion,0,0
How far,0,0
Discover an easier way to top up your mobile phone from GTBank account using GTBank's 1-Click Top Up. Simply dial *737*AMOUNT# e.g *737*1000# for N1,1,1
Ayandiran bolanle khadijat(09/0787),0,0
8108883515,0,0
The password is horpybee and seminar on Ayandiran/bola print out,0,0
Login To {www.yelloairtime.com} To Load your =N=100,1,1
Mama Ridwan 08XXXXXX751 nd sis fadeke +78XXXXX34 ,0,0
Send mama Ridwan and sis fadeke no to me,0,0
4 N1000 monthly plan,1,0
Monthly plan *499*3# N1000,1,0
Seen before 4 I'll send it I'll call you when I do,0,0
3XXXXXXX10 Ayandiran Bolanle k first bank,0,0
Fastlink,1,0
Y'ello! Your request has been received and is being processed. You will receive a response shortly. Please do not resend your request. Thank you!,1,0
FASTLINK ,1,0
Y'ello!,1,0
Y'ello! Your request has been received and is being processed. You will receive a response shortly. Please do not resend your request. Thank you!,1,0
Fastlink ,1,0
Welcome to Enhance MTN Pulse! N5 daily access fee has been deducted and you have received free 5MB data. Your access fee expires at 11.59pm on 22/07/14.,1,1
Welcome to Enhance MTN Pulse! N5 daily access fee has been deducted and you have received free 5MB data. Your access fee expires at 11.59pm on 22/07/14.,1,1
Sorry,1,0
You Have Already Opted Out of This Campaign,1,0
You have successfully opted out of Enhanced Pulse. To opt in again,1,0
Sorry,1,0
Welcome to Enhance MTN Pulse! N5 daily access fee has been deducted and you have received free 5MB data. Your access fee expires at 11.59pm on 22/07/14.,1,1
Yello! Follow us on twitter @MTNNG for updates,1,0
Yello  welcome to MTN! Please SAVE the setup information that will be sent shortly,1,0
Do ensure you subscribe to an MTN Data Bundle to avoid being charged out of bundle rates for browsing or for mobile app updates on your new smart phone. Visit www.mtnonline.com/tips for tips to help you avoid extra charges due to your smart phone.,1,1
Yello  welcome to MTN! Please SAVE the setup information that will be sent shortly,1,0
No disease/plague shall come near your dwelling place; the Lord will keep you from evil at all times. For more prayers from Rhapsody of Realities,1,1
Nollywood actress,1,0
Spectacular WC football moments in history at its best as we count down to the finals of this year's tournament! Reply WC @N50/Wk. Txt STOP to 33111 to OptOut,1,1
THE SEMI-FINALS ARE HERE! Get LIVE game updates & summary of Brazil's match today against Germany! Text SOCCER to 33118 @N50/Wk. Text STOP to 33111 to OptOut,1,1
Please call me. I Love you. Start your week as a champion with prayers from . RHAPSODY of Realities for just N50! To enjoy,1,1
Please call me. Start your week as a champion with prayers from . RHAPSODY of Realities for just N50! To enjoy,1,1
Your call to 08XXXXX15 for 8 secs cost NGN 3.20. Your balance is NGN 11.62.Dial *0805*25# for Jolof bundle of 2 onnet+1 offnet Min+3 Onnet SMS for N25 only,1,1
Your call to 09XXXXX5275 for 15 secs cost NGN 6.00. Your balance is NGN 112.58.Dial *0805*25# for Jolof bundle of 2 onnet+1 offnet Min+3 Onnet SMS for N25 only,1,1
Your call to 08XXXXXXX33 for 221 secs cost NGN 38.49. Your balance is NGN 162.39.Dial *0805*25# for Jolof bundle of 2 onnet+1 offnet Min+3 Onnet SMS for N25 only,1,1
Congratulations Phone Lord! Enjoy Rental Bonus of N50 for today. Bonus to be used for on-net calls and SMS till 9am today,1,1
Your SMS bundle has been granted a bonus of 1 SMS valid until 05/09/2014,1,1
Congratulations Phone Lord! Enjoy Rental Bonus of N50 for today. Bonus to be used for on-net calls and SMS till 9am today,1,1
You have no more SMS on your SMS bundle,1,1
200.00NGN has been credited. Main Bal:N 200.88. Enjoy 9K/s on Bounce2Bounce,1,0
On your main balance,1,0
CNT MAK IT TO COME OVA ANYLNGA... TAKE CARE,0,0
on ur way or not? it's getting dark,0,0
SWEETIE.... told me u wil be ahome ni now,0,0
A/SALAM....  am sorry i wnt b able 2 come ova anylnga,0,0
As u are abt 2 strt ur exams may Allah swt increase ur rate of accimilatn,0,0
70XXXXXX881,0,0
The Favor of God will accompany you everywhere you go. You're marked for great success. For more prayers from Rhapsody of Realities,1,0
Wisdom is knowing what to do at the right time,1,0
Change is not a threat its an opportunity. Transform your business today with money shop. Text YES to 5021 to subscribe. N50/wkly.Text STOP to unsubscribe,1,1
17232759 03/09/14 22:08 Airtime Purchase 7030058860 to 8000000001 NGN 100 Fail17232755 03/09/14 22:08 Airtime Purchase 7030058860 to 8000000001 NGN 100 Fail,1,0
Congratulations Salami Afusat,1,0
Congratulations Dear Salami Afusat,1,0
Pls if u hv a enof mny on u to pay for d clth for bth kndly .i ws hvng headache dt ws why i submitd qukly to cm n rst,0,0
Please call me. Keep your MTN number for one year and avoid being disconnected. Simply dial *365*1# or send KMN to 36500. Costs N500/yr,0,0
Pls text prof Ezeri asgmnt to me thks,0,0
Be cmng o once u gt to sub flash me or if u are dere wait,0,0
Sp116username pw david pls is henry code don't wnt hm to knw,0,0
Henry jst told me dt is ready to colet d bld sample so i wil leave d klas soon.,0,0
GOOD SUCCESS is d reward of hard work. Forget d past,0,0
Dear SALAMI AFUSAT IYABO,0,0
Dear SALAMI AFUSAT IYABO,0,0
Dear SALAMI AFUSAT IYABO,0,0
Dear SALAMI AFUSAT IYABO,0,0
Dear SALAMI AFUSAT IYABO,0,0
Hi honey,0,0
Hi honey,0,0
How Nigerian are you? Prove it! Answer 3 Questions correctly & be rewarded with DSTV Walka7s & more. Text GOL to 5030 T&Cs apply and stop to unsubcribe,1,1
Prove your Nigerian! Answer 3 questions correctly & be rewarded with DSTV Walka7s & more T&Cs apply. Text GOL to 5030 .,1,1
As u are abt 2 strt ur exams may Allah swt increase ur rate of accimilatn,0,0
As u are abt 2 strt ur exams may Allah swt increase ur rate of accimilatn,0,0
As u are abt 2 strt ur exams may Allah swt increase ur rate of accimilatn,0,0
In dis month of Sep,0,0
As d new MNT blossoms,0,0
Happy New Year to U. I wish u God's blessing throughout 2014. May the Lord's blessings never cease in ur life. Watever u touch dis year shall be fruiful.,0,0
As d new MNT blossoms,0,0
As d new MNT blossoms,0,0
As d new MNT blossoms,0,0
As d new MNT blossoms,0,0
As d new MNT blossoms,0,0
Amen thanks. Hope ull come around? ,0,0
As u step in2 anoda yr of ur lif,0,0
As d new MNT blossoms,0,0
As d new MNT blossoms,0,0
As d new MNT blossoms,0,0
As d new MNT blossoms,0,0
As d new MNT blossoms,0,0
As d new MNT blossoms,0,0
I pray 4 mercy of God ova urlife dis mont,0,0
A praya 2bless ur way,0,0
TEXT to 131 TO BUY A MOBILE INTERNET PLAN 104 to 131 FOR DAILY  MOBILE (10MB at N100);106 to 131 FOR MONTHLY MOBILE (100MB at N1000);109 to 131 FOR MONTHLY (250MB at N1500);111 to 131 FOR MONTHLY (1GB at N3500);,1,1
Y'ello! Your data balance is 8.47MB,1,0
2,1,0
Y'ello! Your data balance is 56.23MB,1,0
2,1,0
Y'ello! Your data balance is 82.83MB,1,0
2,1,0
Dear Customer,1,0
Write your own review on MTN Data Services. Follow us on Twitter http://twitter.com/MTNNG and Facebook http://www.facebook.com/MTNLoaded.,1,0
Y'ello! Please note that your 100MB Mobile Data plan will be renewed and N1000 will be deducted from your account. Ignore this message to renew,1,1
Y'ello! You have received 160MB extra data in the MTN Data Delight offer,1,0
Y'ello! You have received 100MB extra data. Valid for 30Days. Dial *559*2# for balance on extra data. Enjoy!,1,1
PING,1,0
Welcome to 100MB Mobile Data plan,1,0
106,1,0
gud morning big bro,0,0
gud morning big bro,0,0
Welcome! Your LG E445 cannot receive any settings. Please visit our web site,1,0
Welcome! Your LG E445 cannot receive any settings. Please visit our web site,1,0
GUARANTEED N50 FREE AIRTIME with Sunlight Delights on your next purchase of Sunlight detergent before 10 Sept. Simply text code inside pack. SMS STOP to optout.,1,1
Thanks for buying Sunlight! You have not been rewarded this time. Keep buying Sunlight to be a part of the Sunlight Delights!,1,0
A3442710735,1,0
Dear Customer,1,0
Please call me. Keep your MTN number for one year and avoid being disconnected. Simply dial *365*1# or send KMN to 36500. Costs N500/yr,1,1
Please call me. Get 100% bonus when you recharge with *885*RechargePin# on SmoothTalk and Trutalk. Bonus expires daily @ 11:59pm.,1,1
aunty Aminat born o,0,0
8039383254,0,0
You transferred N100.00 to 23481XXXXXX02. Your new account balance is N75.49. Thanks for using share n sell service.,0,0
You transferred N100.00 to 23480XXXXXX64. Your new account balance is N184.09. Thanks for using share n sell service.,0,0
You transferred N800.00 to 2348XXXXXX025. Your new account balance is N284.09. Thanks for using share n sell service.,0,0
Inspire your callers with callertunez Isaiah 43:18&19,0,0
Yello! Prayer is rewarding n life enhancing conversation with God. God wants us to call Him so that He can answer our prayers. Call 450122 for MTN Daily prayers,1,1
Subscribe to Tribune Newspaper for 7 days free and get two other news and gist products for 7 days free. Text TRW to 4900. Renewal at N30/week.,1,1
Ref: 448423310    24/08 21:29:15    Bonus: Dial*559*1#    Amt: N1,1,1
just say amin,0,0
375865298014. Manage it to do wat i askd u do.,0,0
3.33E+11,0,0
Etisalat 200,0,0
Please send me credit. Get 100% bonus when you recharge with *885*RechargePin# on SmoothTalk and Trutalk. Bonus expires daily @ 11:59pm.,0,0
No disease/plague shal com near ur dwelling place; Allah wil kp u frm evil @ all times. Babi,0,0
I was on way comin bt u said u ar in class,0,0
Please send me credit. A week of miracles starts with prayers and confessions; start with prayers from Rhapsody of Realities,0,0
I'm sorry for breaking ma promise by calling u,0,0
Salami Afusat 00XXXXXX33Gtb,0,0
First bank acc;No: 30XXXXXX56Name: Salami AFUSAT,0,0
Salami Afusat 00XXXXXX33Gtb,0,0
First bank acc;No: 30XXXXXX056Name: Salami AFUSAT,0,0
First bank acc;No: 30XXXXXX056Name: Salami AFUSATGTBank acc;No: 0050964333Name: Salami AFUSAT ,0,0
Please call me. I Love you. Get 100% bonus when you recharge with *885*RechargePin# on SmoothTalk and Trutalk. Bonus expires daily @ 11:59pm.,0,0
Please call me. I Love you. Get 100% bonus when you recharge with *885*RechargePin# on SmoothTalk and Trutalk. Bonus expires daily @ 11:59pm.,0,0
Please call me. A week of miracles starts with prayers and confessions; start with prayers from Rhapsody of Realities,0,0
Aldo i dnt knw wah i did 2u but wateva t may am xowi. av missed ur presnce in ma hrt n i wnt ma fwend bak. No 1can rplace ur place in my hrt.I care n stil luv u,0,0
I wsh u d bst of d bst tin in lif,0,0
Tanks. Wish u all da v.best too ,0,0
Dis exam wl mark d last semi final exam in ds degree 4u,0,0
Gud a.m dearie....pls hlp me bring ur 501note to skul and beep me wen u are in skul.takia,0,0
don't come again. I don c key,0,0
Life is a game and true love is a trophy. Come play with me. C.a.l.l me:  +41799772924,0,0
Dial *662# on ur phone & follow d options,0,0
Just arvd. Tak care,0,0
Ju,0,0
Am stil waiyx to see ur sallah outluk even though u dd nt request for anythx.,0,0
Pls 4 d sake of Allah,0,0
Bro.... 997692216437,0,0
May you be guided by your faith in Allah and shine in his divine blessings! Eid Mubarak.,0,0
As the holy month of Ramadan ends,0,0
Recite Quran for blessings and recite your prayers,0,0
Salami Afusat070XXXXXX60,0,0
624577515553(400)662866068980(100)Phone number: 070XXXXXX860,0,0
Good morning,0,0
I'm now bin scared to open up and to talk to u even wen I av tins to talk about. Anyway hope u r good?,0,0
I'm in class,0,0
(589444062802).                                 (468960603469).                                 (834113070496) Each is MTN #750,0,0
Patience keeps hope alive. Hope keeps faith alive and Faith keeps you alive.PatienceHopeFaith These three virtues moves you from your experience to,0,0
Am sorry for not picking ur calls,0,0
Gud morning Sir,0,0
#400=(600563628918) #200=248013808988#200=250071012215#200=301720255494,0,0
Dear Client,1,0
Please call me. SGet daily Business Tips,1,1
Gud morning sir,0,0
First bank acc;No: 30XXXXXX56Name: Salami AFUSAT,0,0
May evrytin Hapi&Brit B urs on ur day Frm morning Til 9t&den.2ru d Year.May d same Tin hold True so dt each Day is Filed wit Life's Bst Tin 4u!Hapi Bday.Aphsoh,0,0
It is a grt joy to witnes anoda yr in ur life today i pray dat watever u desire 4rm God wil b granted unto u,0,0
081XXXXX256,0,0
As u step in2 anoda yr of ur lif,0,0
May  Everything Happy And Everything Bright Be Yours On Your Birthday From Morning Till Night. And Then Through The Year May The Same Thing Hold True So That Each Day Is Filled With Lifeâs Best Things For You!HAPI B'DAY ,0,0
Salami Afusat 00XXXXXX33,0,0
Cisse gud morning,0,0
Salami Afusat Gtbank no: 00XXXXXX33,0,0
At ikorodu plz help me baba,0,0
Av2nun hw is work,0,0
D ultimat mesur of a man s nt whr he stnds in momnts of cm4t,0,0
D ultimat mesur of a man s nt whr he stnds in momnts of cm4t,0,0
I wish you heaven's best as u start ur exams today,0,0
D ultimat mesur of a man s nt whr he stnds in momnts of cm4t,0,0
D ultimat mesur of a man s nt whr he stnds in momnts of cm4t,0,0
D Lord is d effort crowner,0,0
Hapi bday sis,0,0
Tanx,0,0
Happy new month,0,0
Dear SALAMI,0,0
Dear FUNAABites,0,0
As u step in2 anoda year of ur life may u plant & reap favor,0,0
Many thanks,0,0
As u step in2 anoda year of ur life may u plant & reap favor,0,0
Gudmawni,0,0
Asalam alaykum sir. I appreciate u.I don't know Hw to tank u enof buh I know Almighty Allah will help me tank u. He'l surprise u beyond ur expectations,0,0
Hapi bday sis,0,0
The unforgetable day in my life is d date of ur birthday,0,0
Wishing u not just a smile but laught,0,0
When you're lonely,0,0
May d yr 2014 brngs joy,0,0
We wish 2 say a BIG thk u 4 patnering with us over d past yrs...also,0,0
As the new year blossoms,0,0
AS 2013 IS GOING 2 D END,0,0
I luv u,0,0
Go to http://g.co/gms/hw2q4gt8d3d to create your Google account,1,1
Kindnez is a sign of man.D most xclent act iz 2gladen d @ of doz dear 2us.We seek Allah in His infinite mercy 2blez uz wif a kind @...Stay blezd & Jum@ karim!!!,0,0
May u b stolen by peacful slp,0,0
Finkn of a luvly 9te lyk diz wen i wl walk u down wif ur handz in mine 2a beautiful gardern just 2ask ow did ur day went?... Hopn u ar gud? Splndid 9te rest...,0,0
It's time 2 put dat adorable head of urs on ur pillor,0,0
All mornin r lyk paintin,0,0
Ramadhan has come and gone may Allah accept our fast and continue to instill the virtues of the blessed mth in us.Amin Happy id el fitri celebration ,0,0
Wen u clos ur eyz...u c somtin difrent,0,0
Your call to 081XXXXXX72 for 54 secs cost NGN 10.80. Your balance is NGN 5.72.Dial *0805*25# for Jolof bundle of 2 onnet+1 offnet Min+3 Onnet SMS for N25 only,1,1
Baby  where u ryt now.i am stil in school ,0,0
A special smile: a special faceMy special M.J i cant replace...,0,0
Sup cutest i saw ur missed call very late @night ma binu for not pickg up. U get paper 2dai,0,0
i wanna tak my bath and giv an hints relatin to tomorrow's paper to my colleagues @ school.its lyk am even late alredy  ...cal u later,0,0
Never say goodbye to someone who loves you Never say thanks to who realy needs you,0,0
...i'll call you around 9post meridian tonight stay tuned ,0,0
Tak a very gud kia of ursef remi cares,0,0
It is more than pen+brain it is knowledge.It is more than read+pass,0,0
i kno sey even if na crawl u dey crawl all d way 4m ijebu u go don land 4 abk.buh u dnt wanna cal cuz of ma packages that ar stil in ur possession...lolz.op u ad a 9ice trip,0,0
i dunno ma credit iz abt 2b exhausted.wot i av left on ma phone iznt up to #20 agan n thats y i cudnt 're-call'.i'll surely dream of M.J d most sumptuos starlet on ds planet n its nt bad if u alxo mak me awake in ur dream too.slip tyt,0,0
yeye guy....tnks xo much n top of d morning to u.M.J,0,0
Mrs Cold-catcher i just wanna say hi and know you are doing great.today's weather report says that ogun state shares 26deg celsius,0,0
Dear Valued Subscriber  recharge N800 within next 3 days and get 50% bonus talktime Glo to Glo,1,1
9.25E+14,0,0
9064458851130.  ukulu jane.    gtb,0,0
Open the eyes of ur heart and see how lovely the love that i share with u. All of me love all of u.,0,0
Open the eyes of ur heart and see how lovely the love that i share with u. All of me love all of u.,0,0
Open the eyes of ur heart and see how lovely the love that i share with u. All of me love all of u.,0,0
Open the eyes of ur heart and see how lovely the love that i share with u. All of me love all of u.,0,0
You mean a lot to me Angel. I can't hide my feeling for loving u.,0,0
You mean a lot to me Angel. I can't hide my feeling for loving u.,0,0
You mean a lot to me Angel. I can't hide my feeling for loving u.,0,0
You mean a lot to me Angel. I can't hide my feeling for loving u.,0,0
You mean a lot to me Angel. I can hide my feeling for loving u.,0,0
You mean a lot to me Angel. I can hide my feeling for loving u.,0,0
You mean a lot to me Angel. I can hide my feeling for loving u.,0,0
You mean a lot to me Angel. I can hide my feeling for loving u.,0,0
3.88E+11,1,0
3.88E+11,1,0
3.88E+11,1,0
3.88E+11,1,0
00XXXXXX4 obeka adakole christian gtbank,0,0
00XXXXXX4 obeka adakole christian gtbank,0,0
00XXXXXX4 obeka adakole christian gtbank,0,0
00XXXXXX4 obeka adakole christian gtbank,0,0
If the sun refuses to shine the rain wont fall; and the northern stars wil remain constant like my love for u.  love u with my whole heart.  each moment without u always  seems like eternity,0,0
If the sun refuses to shine the rain wont fall; and the northern stars wil remain constant like my love for u.  love u with my whole heart.  each moment without u always  seems like eternity,0,0
If the sun refuses to shine the rain wont fall; and the northern stars wil remain constant like my love for u.  love u with my whole heart.  each moment without u always  seems like eternity,0,0
If the sun refuses to shine the rain wont fall; and the northern stars wil remain constant like my love for u.  love u with my whole heart.  each moment without u always  seems like eternity,0,0
As we enter the EMBER  months Rejoice in the Lord for the LORD is with you,1,0
Beloved  as u continue dis exams,0,0
GOOD SUCCESS is d reward of hard work. Forget d past  study hard & rely on God 4 d best. My prayers are wit u all through d exams. Happy New Month. Jane cares,0,0
As d new MNT blossoms  may d jony of ur life b fragrant wt new oportnitis,0,0
Thanks alot for today. God bless u much,0,0
Welcom2Sept. d mont 2 b rememberd4gud!even as u go 4th in dz mont,0,0
Gdevnin blvd.Subzon servic coms up 2moro @MAPOLY.We r 2 converge @TAC Camp ass.by 7:00am wit a token of #200PLS NOTE:der wil b no aâ¬Â¿AFRICAN TIMEaâ¬Â¿!we ar 1,0,0
An ordnary stone in David's hand had an xtra-ordnay efect on Goliath.May d ordnary tinz u do hens4th result 2 an extra-ordnary brk2rus.Success in ur xams,0,0
GOOD SUCCESS is d reward of hard work. Forget d past  study hard & rely on God 4 d best. My prayers are wit u all through d exams. Happy New Month.'Seyi ADEBOTE,0,0
Beloved  I earnestly wish above all things that thou mayest prosper in ur forthcoming exams. My best wishes with you as u prepare. Success Ahead! 'Seyi ADEBOTE.,0,0
9064458851130.  ukulu jane.    gtb,0,0
As u prep for dis xam may doors of wisdom undastndin knwldg gwd health n sound mind b opend  unto u. Fear not 4 d Lord ll gv u gr8 sucess... Lov u! Olu~vickey,0,0
He is beside me nio,0,0
Blvd  all glory 2 God 4 d success of d snt4t,0,0
